,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
2356,SR,Suriname,Poverty headcount ratio at national poverty lines (% of population),2019,,Latin America & Caribbean ,Upper middle income,Blend,-55.1679,5.8232
2357,SR,Suriname,Poverty headcount ratio at national poverty lines (% of population),2018,,Latin America & Caribbean ,Upper middle income,Blend,-55.1679,5.8232
2358,SR,Suriname,Poverty headcount ratio at national poverty lines (% of population),2017,,Latin America & Caribbean ,Upper middle income,Blend,-55.1679,5.8232
2359,SR,Suriname,Poverty headcount ratio at national poverty lines (% of population),2016,,Latin America & Caribbean ,Upper middle income,Blend,-55.1679,5.8232
2360,SE,Sweden,Poverty headcount ratio at national poverty lines (% of population),2025,,Europe & Central Asia,High income,Not classified,18.0645,59.3327
2361,SE,Sweden,Poverty headcount ratio at national poverty lines (% of population),2024,,Europe & Central Asia,High income,Not classified,18.0645,59.3327
2362,SE,Sweden,Poverty headcount ratio at national poverty lines (% of population),2023,,Europe & Central Asia,High income,Not classified,18.0645,59.3327
2363,SE,Sweden,Poverty headcount ratio at national poverty lines (% of population),2022,16.1,Europe & Central Asia,High income,Not classified,18.0645,59.3327
2364,SE,Sweden,Poverty headcount ratio at national poverty lines (% of population),2021,16.0,Europe & Central Asia,High income,Not classified,18.0645,59.3327
2365,SE,Sweden,Poverty headcount ratio at national poverty lines (% of population),2020,15.7,Europe & Central Asia,High income,Not classified,18.0645,59.3327
2366,SE,Sweden,Poverty headcount ratio at national poverty lines (% of population),2019,16.1,Europe & Central Asia,High income,Not classified,18.0645,59.3327
2367,SE,Sweden,Poverty headcount ratio at national poverty lines (% of population),2018,17.1,Europe & Central Asia,High income,Not classified,18.0645,59.3327
2368,SE,Sweden,Poverty headcount ratio at national poverty lines (% of population),2017,16.4,Europe & Central Asia,High income,Not classified,18.0645,59.3327
2369,SE,Sweden,Poverty headcount ratio at national poverty lines (% of population),2016,15.8,Europe & Central Asia,High income,Not classified,18.0645,59.3327
2370,CH,Switzerland,Poverty headcount ratio at national poverty lines (% of population),2025,,Europe & Central Asia,High income,Not classified,7.44821,46.948
2371,CH,Switzerland,Poverty headcount ratio at national poverty lines (% of population),2024,,Europe & Central Asia,High income,Not classified,7.44821,46.948
2372,CH,Switzerland,Poverty headcount ratio at national poverty lines (% of population),2023,,Europe & Central Asia,High income,Not classified,7.44821,46.948
2373,CH,Switzerland,Poverty headcount ratio at national poverty lines (% of population),2022,,Europe & Central Asia,High income,Not classified,7.44821,46.948
2374,CH,Switzerland,Poverty headcount ratio at national poverty lines (% of population),2021,15.8,Europe & Central Asia,High income,Not classified,7.44821,46.948
2375,CH,Switzerland,Poverty headcount ratio at national poverty lines (% of population),2020,14.7,Europe & Central Asia,High income,Not classified,7.44821,46.948
2376,CH,Switzerland,Poverty headcount ratio at national poverty lines (% of population),2019,15.5,Europe & Central Asia,High income,Not classified,7.44821,46.948
2377,CH,Switzerland,Poverty headcount ratio at national poverty lines (% of population),2018,16.0,Europe & Central Asia,High income,Not classified,7.44821,46.948
2378,CH,Switzerland,Poverty headcount ratio at national poverty lines (% of population),2017,14.6,Europe & Central Asia,High income,Not classified,7.44821,46.948
2379,CH,Switzerland,Poverty headcount ratio at national poverty lines (% of population),2016,15.5,Europe & Central Asia,High income,Not classified,7.44821,46.948
2380,SY,Syrian Arab Republic,Poverty headcount ratio at national poverty lines (% of population),2025,,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,36.3119,33.5146
2381,SY,Syrian Arab Republic,Poverty headcount ratio at national poverty lines (% of population),2024,,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,36.3119,33.5146
2382,SY,Syrian Arab Republic,Poverty headcount ratio at national poverty lines (% of population),2023,,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,36.3119,33.5146
2383,SY,Syrian Arab Republic,Poverty headcount ratio at national poverty lines (% of population),2022,,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,36.3119,33.5146
2384,SY,Syrian Arab Republic,Poverty headcount ratio at national poverty lines (% of population),2021,,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,36.3119,33.5146
2385,SY,Syrian Arab Republic,Poverty headcount ratio at national poverty lines (% of population),2020,,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,36.3119,33.5146
2386,SY,Syrian Arab Republic,Poverty headcount ratio at national poverty lines (% of population),2019,,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,36.3119,33.5146
2387,SY,Syrian Arab Republic,Poverty headcount ratio at national poverty lines (% of population),2018,,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,36.3119,33.5146
2388,SY,Syrian Arab Republic,Poverty headcount ratio at national poverty lines (% of population),2017,,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,36.3119,33.5146
2389,SY,Syrian Arab Republic,Poverty headcount ratio at national poverty lines (% of population),2016,,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,36.3119,33.5146
2390,TJ,Tajikistan,Poverty headcount ratio at national poverty lines (% of population),2025,,Europe & Central Asia,Lower middle income,IDA,68.7864,38.5878
2391,TJ,Tajikistan,Poverty headcount ratio at national poverty lines (% of population),2024,19.8,Europe & Central Asia,Lower middle income,IDA,68.7864,38.5878
2392,TJ,Tajikistan,Poverty headcount ratio at national poverty lines (% of population),2023,20.4,Europe & Central Asia,Lower middle income,IDA,68.7864,38.5878
2393,TJ,Tajikistan,Poverty headcount ratio at national poverty lines (% of population),2022,21.7,Europe & Central Asia,Lower middle income,IDA,68.7864,38.5878
2394,TJ,Tajikistan,Poverty headcount ratio at national poverty lines (% of population),2021,25.6,Europe & Central Asia,Lower middle income,IDA,68.7864,38.5878
2395,TJ,Tajikistan,Poverty headcount ratio at national poverty lines (% of population),2020,,Europe & Central Asia,Lower middle income,IDA,68.7864,38.5878
2396,TJ,Tajikistan,Poverty headcount ratio at national poverty lines (% of population),2019,,Europe & Central Asia,Lower middle income,IDA,68.7864,38.5878
2397,TJ,Tajikistan,Poverty headcount ratio at national poverty lines (% of population),2018,,Europe & Central Asia,Lower middle income,IDA,68.7864,38.5878
2398,TJ,Tajikistan,Poverty headcount ratio at national poverty lines (% of population),2017,,Europe & Central Asia,Lower middle income,IDA,68.7864,38.5878
2399,TJ,Tajikistan,Poverty headcount ratio at national poverty lines (% of population),2016,,Europe & Central Asia,Lower middle income,IDA,68.7864,38.5878
2400,TZ,Tanzania,Poverty headcount ratio at national poverty lines (% of population),2025,,Sub-Saharan Africa ,Lower middle income,IDA,35.7382,-6.17486
2401,TZ,Tanzania,Poverty headcount ratio at national poverty lines (% of population),2024,,Sub-Saharan Africa ,Lower middle income,IDA,35.7382,-6.17486
2402,TZ,Tanzania,Poverty headcount ratio at national poverty lines (% of population),2023,,Sub-Saharan Africa ,Lower middle income,IDA,35.7382,-6.17486
2403,TZ,Tanzania,Poverty headcount ratio at national poverty lines (% of population),2022,,Sub-Saharan Africa ,Lower middle income,IDA,35.7382,-6.17486
2404,TZ,Tanzania,Poverty headcount ratio at national poverty lines (% of population),2021,,Sub-Saharan Africa ,Lower middle income,IDA,35.7382,-6.17486
2405,TZ,Tanzania,Poverty headcount ratio at national poverty lines (% of population),2020,,Sub-Saharan Africa ,Lower middle income,IDA,35.7382,-6.17486
2406,TZ,Tanzania,Poverty headcount ratio at national poverty lines (% of population),2019,,Sub-Saharan Africa ,Lower middle income,IDA,35.7382,-6.17486
2407,TZ,Tanzania,Poverty headcount ratio at national poverty lines (% of population),2018,26.4,Sub-Saharan Africa ,Lower middle income,IDA,35.7382,-6.17486
2408,TZ,Tanzania,Poverty headcount ratio at national poverty lines (% of population),2017,,Sub-Saharan Africa ,Lower middle income,IDA,35.7382,-6.17486
2409,TZ,Tanzania,Poverty headcount ratio at national poverty lines (% of population),2016,,Sub-Saharan Africa ,Lower middle income,IDA,35.7382,-6.17486
2410,TH,Thailand,Poverty headcount ratio at national poverty lines (% of population),2025,,East Asia & Pacific,Upper middle income,IBRD,100.521,13.7308
2411,TH,Thailand,Poverty headcount ratio at national poverty lines (% of population),2024,,East Asia & Pacific,Upper middle income,IBRD,100.521,13.7308
2412,TH,Thailand,Poverty headcount ratio at national poverty lines (% of population),2023,,East Asia & Pacific,Upper middle income,IBRD,100.521,13.7308
2413,TH,Thailand,Poverty headcount ratio at national poverty lines (% of population),2022,5.4,East Asia & Pacific,Upper middle income,IBRD,100.521,13.7308
2414,TH,Thailand,Poverty headcount ratio at national poverty lines (% of population),2021,6.3,East Asia & Pacific,Upper middle income,IBRD,100.521,13.7308
2415,TH,Thailand,Poverty headcount ratio at national poverty lines (% of population),2020,6.8,East Asia & Pacific,Upper middle income,IBRD,100.521,13.7308
2416,TH,Thailand,Poverty headcount ratio at national poverty lines (% of population),2019,6.2,East Asia & Pacific,Upper middle income,IBRD,100.521,13.7308
2417,TH,Thailand,Poverty headcount ratio at national poverty lines (% of population),2018,9.9,East Asia & Pacific,Upper middle income,IBRD,100.521,13.7308
2418,TH,Thailand,Poverty headcount ratio at national poverty lines (% of population),2017,7.9,East Asia & Pacific,Upper middle income,IBRD,100.521,13.7308
2419,TH,Thailand,Poverty headcount ratio at national poverty lines (% of population),2016,8.6,East Asia & Pacific,Upper middle income,IBRD,100.521,13.7308
2420,TL,Timor-Leste,Poverty headcount ratio at national poverty lines (% of population),2025,,East Asia & Pacific,Lower middle income,Blend,125.567,-8.56667
2421,TL,Timor-Leste,Poverty headcount ratio at national poverty lines (% of population),2024,,East Asia & Pacific,Lower middle income,Blend,125.567,-8.56667
2422,TL,Timor-Leste,Poverty headcount ratio at national poverty lines (% of population),2023,,East Asia & Pacific,Lower middle income,Blend,125.567,-8.56667
